experiment_name,run_dir,episodes,total_steps,mean_episode_reward,baseline_mean_episode_reward,reward_improvement,interceptor_win_rate,baseline_interceptor_win_rate,win_rate_improvement,response_policy_accuracy,switch_count,process_pass,engineering_pass,paper_like_pass,judgement,interceptor_max_speed,intruder_max_speed,collision_radius,total_timesteps,seed
continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s42,runs/continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s42/20260513_090131,800,31249,-38.99147737300141,-108.67576642323061,69.68428905022921,0.325,0.0,0.325,0.99375980031361,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.08,1500000,42
continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s44,runs/continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s44/20260513_090225,800,30901,-39.50421826762513,-109.12202236779572,69.61780410017059,0.3225,0.005,0.3175,0.9937542474353581,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.08,1500000,44
continuous_sweep_is0p03_us0p016_cr0p08_ts300000_s42,runs/continuous_sweep_is0p03_us0p016_cr0p08_ts300000_s42/20260513_072728,300,12058,-42.88968330142995,-105.95892317854663,63.06923987711668,0.30666666666666664,0.013333333333333334,0.29333333333333333,0.9937800630286946,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.08,300000,42
continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s42,runs/continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s42/20260513_090149,800,29879,-42.562242408121186,-98.90940029266156,56.34715788454037,0.30375,0.03625,0.2675,0.9937748920646609,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.018,0.1,1500000,42
continuous_sweep_is0p03_us0p016_cr0p1_ts300000_s42,runs/continuous_sweep_is0p03_us0p016_cr0p1_ts300000_s42/20260513_072733,300,12102,-40.15635298034574,-92.92602543790012,52.769672457554385,0.3233333333333333,0.056666666666666664,0.26666666666666666,0.9938026772434309,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.1,300000,42
continuous_sweep_is0p026_us0p018_cr0p1_ts300000_s42,runs/continuous_sweep_is0p026_us0p018_cr0p1_ts300000_s42/20260513_072727,300,10560,-52.93726517578712,-105.95117657473436,53.01391139894724,0.25333333333333335,0.006666666666666667,0.2466666666666667,0.99375,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.018,0.1,300000,42
continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s44,runs/continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s44/20260513_090147,800,27919,-46.573377691080516,-93.51208156587239,46.93870387479188,0.28625,0.05625,0.23,0.9937676850890075,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.018,0.1,1500000,44
continuous_sweep_is0p022_us0p018_cr0p1_ts300000_s42,runs/continuous_sweep_is0p022_us0p018_cr0p1_ts300000_s42/20260513_072752,300,10815,-57.738785142908505,-103.25688265707741,45.51809751416891,0.23,0.013333333333333334,0.21666666666666667,0.9938049006010171,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.022,0.018,0.1,300000,42
continuous_sweep_is0p026_us0p016_cr0p1_ts300000_s42,runs/continuous_sweep_is0p026_us0p016_cr0p1_ts300000_s42/20260513_072754,300,12151,-49.32381270578951,-88.78061861067451,39.456805904885,0.27666666666666667,0.07666666666666666,0.2,0.9938276685046499,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.016,0.1,300000,42
continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s43,runs/continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s43/20260513_090216,800,30386,-37.39324191442777,-71.15730914131747,33.7640672268897,0.33,0.15875,0.17125,0.9937800302771013,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.1,1500000,43
continuous_sweep_is0p026_us0p016_cr0p08_ts300000_s42,runs/continuous_sweep_is0p026_us0p016_cr0p08_ts300000_s42/20260513_072756,300,12068,-49.457749629021684,-80.76844512687872,31.310695497857033,0.27666666666666667,0.11666666666666667,0.16,0.9937852171030825,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.016,0.08,300000,42
continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s42,runs/continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s42/20260513_100037,800,30788,-38.0060266652267,-61.18849071837231,23.18246405314561,0.3325,0.2075,0.12500000000000003,0.9937638040795115,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.1,1500000,42
continuous_sweep_is0p022_us0p016_cr0p1_ts300000_s42,runs/continuous_sweep_is0p022_us0p016_cr0p1_ts300000_s42/20260513_072801,300,15456,-84.78503440616727,-107.48216440117359,22.69712999500632,0.10333333333333333,0.0033333333333333335,0.1,0.9937888198757764,,True,True,False,达到工程复现主要标准：机制有效且优于 baseline，但绝对拦截胜率仍需优化。,0.022,0.016,0.1,300000,42
continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s43,runs/continuous_confirm_is0p026_us0p018_cr0p1_ts1500000_s43/20260513_090157,800,29874,-41.39939481235966,-60.11160729893856,18.7122124865789,0.31,0.215,0.095,0.9937738501707171,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.026,0.018,0.1,1500000,43
continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s44,runs/continuous_confirm_is0p03_us0p016_cr0p1_ts1500000_s44/20260513_090237,800,28359,-40.73066584156333,-55.547444330956594,14.816778489393265,0.315,0.23625,0.07875000000000001,0.9937585951549772,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.1,1500000,44
continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s43,runs/continuous_confirm_is0p03_us0p016_cr0p08_ts1500000_s43/20260513_090208,800,29399,-42.061311066376696,-55.589529042089396,13.5282179757127,0.31125,0.235,0.07625000000000004,0.9937752984795402,,True,True,True,达到接近论文效果的候选标准，可继续做多 seed 与参数敏感性验证。,0.03,0.016,0.08,1500000,43
continuous_sweep_is0p026_us0p018_cr0p08_ts300000_s42,runs/continuous_sweep_is0p026_us0p018_cr0p08_ts300000_s42/20260513_072745,300,13593,-91.77649361917724,-102.3367902527213,10.560296633544056,0.06666666666666667,0.02,0.04666666666666666,0.9938203487088942,,True,True,False,达到工程复现主要标准：机制有效且优于 baseline，但绝对拦截胜率仍需优化。,0.026,0.018,0.08,300000,42
continuous_sweep_is0p022_us0p018_cr0p08_ts300000_s42,runs/continuous_sweep_is0p022_us0p018_cr0p08_ts300000_s42/20260513_072752,300,13916,-100.04757243762364,-106.79551286867857,6.7479404310549285,0.02666666666666667,0.0,0.02666666666666667,0.9938200632365622,,True,True,False,达到工程复现主要标准：机制有效且优于 baseline，但绝对拦截胜率仍需优化。,0.022,0.018,0.08,300000,42
continuous_sweep_is0p03_us0p018_cr0p1_ts300000_s42,runs/continuous_sweep_is0p03_us0p018_cr0p1_ts300000_s42/20260513_072729,300,11325,-68.80927738044412,-69.18574595857014,0.37646857812602263,0.17666666666666667,0.17,0.006666666666666654,0.9938189845474613,,True,True,False,达到工程复现主要标准：机制有效且优于 baseline，但绝对拦截胜率仍需优化。,0.03,0.018,0.1,300000,42
continuous_sam_confirm_is0p03_us0p016_cr0p08_ts1500000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse,runs/continuous_sam_confirm_is0p03_us0p016_cr0p08_ts1500000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse/20260514_045740,800,26777,-47.17657735556815,-108.67576642323061,61.49918906766246,0.27875,0.0,0.27875,0.33457818276879414,1.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,1500000,42
continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse,runs/continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse/20260514_015213,300,10323,-55.83891612291933,-105.95892317854663,50.1200070556273,0.23666666666666666,0.013333333333333334,0.22333333333333333,0.33352707546255933,1.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth16_dc0p02_wu40_cd120_mg1_nv0p0005_mx8_oufalse,runs/continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth16_dc0p02_wu40_cd120_mg1_nv0p0005_mx8_oufalse/20260514_015204,300,10323,-55.83891612291933,-105.95892317854663,50.1200070556273,0.23666666666666666,0.013333333333333334,0.22333333333333333,0.33352707546255933,1.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
